list_number,list_description_en,list_description_uk,code,description_en,description_uk,notes
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-CE,Caserta,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-CT,Catania,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-CZ,Catanzaro,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-CH,Chieti,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-CO,Como,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-CS,Cosenza,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-CR,Cremona,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-KR,Crotone,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-CN,Cuneo,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-EN,Enna,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-FM,Fermo,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-FE,Ferrara,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-FI,Firenze,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-FG,Foggia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-FC,Forlì-Cesena,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-FR,Frosinone,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-GE,Genova,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-GO,Gorizia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-GR,Grosseto,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-IM,Imperia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-IS,Isernia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-SP,La Spezia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-AQ,L’Aquila,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-LT,Latina,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-LE,Lecce,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-LC,Lecco,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-LI,Livorno,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-LO,Lodi,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-LU,Lucca,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-MC,Macerata,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-MN,Mantova,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-MS,Massa-Carrara,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-MT,Matera,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VS,Medio Campidano,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-ME,Messina,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-MI,Milano,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-MO,Modena,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-MB,Monza e Brianza,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-NA,Napoli,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-NO,Novara,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-NU,Nuoro,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-OG,Ogliastra,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-OT,Olbia-Tempio,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-OR,Oristano,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PD,Padova,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PA,Palermo,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PR,Parma,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PV,Pavia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PG,Perugia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PU,Pesaro e Urbino,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PE,Pescara,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PC,Piacenza,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PI,Pisa,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PT,Pistoia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PN,Pordenone,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PZ,Potenza,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-PO,Prato,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-RG,Ragusa,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-RA,Ravenna,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-RC,Reggio Calabria,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-RE,Reggio Emilia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-RI,Rieti,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-RN,Rimini,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-RM,Roma,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-RO,Rovigo,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-SA,Salerno,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-SS,Sassari,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-SV,Savona,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-SI,Siena,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-SR,Siracusa,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-SO,Sondrio,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-TA,Taranto,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-TE,Teramo,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-TR,Terni,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-TO,Torino,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-TP,Trapani,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-TN,Trento,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-TV,Treviso,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-TS,Trieste,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-UD,Udine,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VA,Varese,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VE,Venezia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VB,Verbano-Cusio-Ossola,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VC,Vercelli,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VR,Verona,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VV,Vibo Valentia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VI,Vicenza,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,IT-VT,Viterbo,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RS-KM,Kosovo-Metohija,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RS-VO,Vojvodina,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-AD,Republic of Adygeya,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-AL,Republic of Altay,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-BA,Republic of Bashkortostan,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-BU,Republic of Buryatiya,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-CE,Chechenskaya Republic,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-CU,Chuvashskaya Republic,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-DA,Republic of Dagestan,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-IN,Republic of Ingushetiya,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KB,Kabardino-Balkarskaya Republic,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KL,Republic of Kalmykiya,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KC,Karachayevo-Cherkesskaya Republic,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KR,Republic of Kareliya,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KK,Republic of Khakasiya,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KO,Republic of Komi,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-ME,Republic of Mariy El,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-MO,Republic of Mordoviya,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-SA,Republic of Sakha (Yakutiya),,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-SE,Republic of Severnaya Osetiya-Alaniya,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-TA,Republic of Tatarstan,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-TY,Republic of Tyva (Tuva),,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-UD,Udmurtskaya Republic,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-ALT,Altayskiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KAM,Kamchatskiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KHA,Khabarovskiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KDA,Krasnodarskiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KYA,Krasnoyarskiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-PER,Permskiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-PRI,Primorskiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-STA,Stavropol’skiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-ZAB,Zabaykal’skiy Administrative Territory,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-AMU,Amurskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-ARK,Arkhangel’skaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-AST,Astrakhanskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-BEL,Belgorodskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-BRY,Bryanskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-CHE,Chelyabinskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-IRK,Irkutskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-IVA,Ivanovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KGD,Kaliningradskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KLU,Kaluzhskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KEM,Kemerovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KIR,Kirovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KOS,Kostromskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KGN,Kurganskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KRS,Kurskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-LEN,Leningradskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-LIP,Lipetskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-MAG,Magadanskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-MOS,Moskovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-MUR,Murmanskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-NIZ,Nizhegorodskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-NGR,Novgorodskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-NVS,Novosibirskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-OMS,Omskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-ORE,Orenburgskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-ORL,Orlovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-PNZ,Penzenskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-PSK,Pskovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-ROS,Rostovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-RYA,Ryazanskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-SAK,Sakhalinskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-SAM,Samarskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-SAR,Saratovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-SMO,Smolenskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-SVE,Sverdlovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-TAM,Tambovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-TOM,Tomskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-TUL,Tul’skaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-TVE,Tverskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-TYU,Tyumenskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-ULY,Ul’yanovskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-VLA,Vladimirskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-VGG,Volgogradskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-VLG,Vologodskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-VOR,Voronezhskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-YAR,Yaroslavskaya Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-MOW,Moskva City,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-SPE,Sankt-Peterburg City,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-YEV,Yevreyskaya Autonomous Administrative Region,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-CHU,Chukotskiy Autonomous District,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-KHM,Khanty-Mansiyskiy Autonomous District,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-NEN,Nenetskiy Autonomous District,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,RU-YAN,Yamalo-Nenetskiy Autonomous District,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-AK,Alaska,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-AL,Alabama,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-AR,Arkansas,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-AZ,Arizona,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-CA,California,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-CO,Colorado,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-CT,Connecticut,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-DC,District of Columbia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-DE,Delaware,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-FL,Florida,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-GA,Georgia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-HI,Hawaii,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-IA,Iowa,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-ID,Idaho,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-IL,Illinois,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-IN,Indiana,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-KS,Kansas,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-KY,Kentucky,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-LA,Louisiana,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-MA,Massachusetts,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-MD,Maryland,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-ME,Maine,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-MI,Michigan,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-MN,Minnesota,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-MO,Missouri,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-MS,Mississippi,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-MT,Montana,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-NC,North Carolina,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-ND,North Dakota,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-NE,Nebraska,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-NH,New Hampshire,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-NJ,New Jersey,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-NM,New Mexico,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-NV,Nevada,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-NY,New York,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-OH,Ohio,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-OK,Oklahoma,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-OR,Oregon,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-PA,Pennsylvania,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-RI,Rhode Island,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-SC,South Carolina,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-SD,South Dakota,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-TN,Tennessee,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-TX,Texas,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-UT,Utah,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-VA,Virginia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-VT,Vermont,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-WA,Washington,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-WI,Wisconsin,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-WV,West Virginia,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,US-WY,Wyoming,,
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,ECZ,Eurozone,,"Countries geographically within continental Europe which use the Euro as their sole currency. At the time of writing, this is a synonym for ‘AT BE CY EE FI FR DE ES GR HR IE IT LT LU LV MT NL PT SI SK’ (the official Eurozone 20), plus ‘AD MC SM VA ME’ and Kosovo (other Euro-using countries in continental Europe). Note some other territories using the Euro, but outside continental Europe are excluded from this list, and may need to be specified separately. ONLY valid in ONIX 3.0, and ONLY within P.26 – and this use is itself Deprecated. Use of an explicit list of countries instead of ECZ is strongly encouraged"
49,Region – based on ISO 3166-2,Регіон – за ISO 3166-2,WORLD,World,,"In ONIX 3.0 and later, may ONLY be used in <RegionsIncluded>"
50,Measure unit,Одиниця вимірювання,cm,Centimeters,,Millimeters are the preferred metric unit of length
50,Measure unit,Одиниця вимірювання,gr,Grams,,
50,Measure unit,Одиниця вимірювання,in,Inches (US),,
50,Measure unit,Одиниця вимірювання,kg,Kilograms,,Grams are the preferred metric unit of weight
50,Measure unit,Одиниця вимірювання,lb,Pounds (US),,Ounces are the preferred US customary unit of weight
50,Measure unit,Одиниця вимірювання,mm,Millimeters,,
50,Measure unit,Одиниця вимірювання,oz,Ounces (US),,
50,Measure unit,Одиниця вимірювання,px,Pixels,,
51,Product relation,Зв'язок продуктів,00,Unspecified,Не вказано,<Product> is related to <RelatedProduct> in a way that cannot be specified by another code value
51,Product relation,Зв'язок продуктів,01,Includes,,<Product> includes <RelatedProduct> (inverse of code 02)
51,Product relation,Зв'язок продуктів,02,Is part of,,<Product> is part of <RelatedProduct>: use for ‘also available as part of’ (inverse of code 01)
51,Product relation,Зв'язок продуктів,03,Replaces,,"<Product> replaces, or is new edition of, <RelatedProduct> (inverse of code 05)"
51,Product relation,Зв'язок продуктів,04,Has companion product,,"<Product> and <RelatedProduct> are companion products, intended to be used, or are usable, together (is own inverse). Only for use in ONIX 3.0 or later"
51,Product relation,Зв'язок продуктів,05,Replaced by,,"<Product> is replaced by, or has new edition, <RelatedProduct> (inverse of code 03)"
51,Product relation,Зв'язок продуктів,06,Alternative format,,<Product> is available in an alternative format as <RelatedProduct> – indicates an alternative format of the same content which is or may be available (is own inverse)
51,Product relation,Зв'язок продуктів,07,Has ancillary product,,<Product> has an ancillary or supplementary product <RelatedProduct> (inverse of code 08)
51,Product relation,Зв'язок продуктів,08,Is ancillary to,,<Product> is ancillary or supplementary to <RelatedProduct> (inverse of code 07)
51,Product relation,Зв'язок продуктів,09,Is remaindered as,,"<Product> is remaindered as <RelatedProduct>, when a remainder merchant assigns its own identifier to the product (inverse of code 10)"
51,Product relation,Зв'язок продуктів,10,Is remainder of,,"<Product> was originally sold as <RelatedProduct>, indicating the publisher’s original identifier for a title which is offered as a remainder under a different identifier (inverse of code 09)"
51,Product relation,Зв'язок продуктів,11,Is other-language version of,,<Product> is an other-language version of <RelatedProduct> (is own inverse)
51,Product relation,Зв'язок продуктів,12,Publisher’s suggested alternative,,"<Product> has a publisher’s suggested alternative <RelatedProduct>, which does not, however, carry the same content (cf 05 and 06)"
51,Product relation,Зв'язок продуктів,13,Epublication based on (print product),,<Product> is an epublication based on printed product <RelatedProduct>. The related product is the source of any print-equivalent page numbering present in the epublication (inverse of code 27)
51,Product relation,Зв'язок продуктів,16,POD replacement for,,<Product> is a POD replacement for <RelatedProduct>. <RelatedProduct> is an out-of-print product replaced by a print-on-demand version under a new ISBN (inverse of code 17)
51,Product relation,Зв'язок продуктів,17,Replaced by POD,,"<Product> is replaced by POD <RelatedProduct>. <RelatedProduct> is a print-on-demand replacement, under a new ISBN, for an out-of-print <Product> (inverse of code 16)"
51,Product relation,Зв'язок продуктів,18,Is special edition of,,"<Product> is a special edition of <RelatedProduct>. Used for a special edition (de: ‘Sonderausgabe’) with different cover, binding, premium content etc – more than ‘alternative format’ – which may be available in limited quantity and for a limited time (inverse of code 19)"
51,Product relation,Зв'язок продуктів,19,Has special edition,,<Product> has a special edition <RelatedProduct> (inverse of code 18)
51,Product relation,Зв'язок продуктів,20,Is prebound edition of,,"<Product> is a prebound edition of <RelatedProduct> (In the US, a ‘prebound’ edition is ‘a book that was previously bound and has been rebound with a library quality hardcover binding. In almost all commercial cases, the book in question began as a paperback. This might also be termed ‘re-bound’) (inverse of code 21)"
51,Product relation,Зв'язок продуктів,21,Is original of prebound edition,,<Product> is the regular edition of which <RelatedProduct> is a prebound edition (inverse of code 20)
51,Product relation,Зв'язок продуктів,22,Product by same author,,<Product> and <RelatedProduct> have a common author
51,Product relation,Зв'язок продуктів,23,Similar product,,"<RelatedProduct> is another product that is suggested as similar to <Product> (‘if you liked <Product>, you may also like <RelatedProduct>’, or vice versa). In some markets, this may be termed a ‘comparison title’ or ‘comp title’"
51,Product relation,Зв'язок продуктів,24,Is facsimile of,,<Product> is a facsimile edition of <RelatedProduct> (inverse of code 25)
51,Product relation,Зв'язок продуктів,25,Is original of facsimile,,<Product> is the original edition from which a facsimile edition <RelatedProduct> is taken (inverse of code 24)
51,Product relation,Зв'язок продуктів,26,Is license for,,"<Product> is a license for a digital <RelatedProduct>, traded or supplied separately"
51,Product relation,Зв'язок продуктів,27,Electronic version available as,,<RelatedProduct> is an electronic version of print <Product> (inverse of code 13)
51,Product relation,Зв'язок продуктів,28,Enhanced version available as,,"<RelatedProduct> is an ‘enhanced’ version of <Product>, with additional content. Typically used to link an enhanced e-book to its original ‘unenhanced’ equivalent, but not specifically limited to linking e-books – for example, may be used to link non-illustrated and illustrated print books, original and enlarged editions etc. <Product> and <RelatedProduct> should share the same <ProductForm> (inverse of code 29)"
51,Product relation,Зв'язок продуктів,29,Basic version available as,,<RelatedProduct> is a basic version of <Product>. <Product> and <RelatedProduct> should share the same <ProductForm> (inverse of code 28)
51,Product relation,Зв'язок продуктів,30,Product in same collection,,"<RelatedProduct> and <Product> are part of the same collection (eg two products in same series or set, whether ordered or unordered) (is own inverse)"
51,Product relation,Зв'язок продуктів,31,Has alternative in a different market sector,,"<RelatedProduct> is an alternative product in another sector (of the same geographical market). Indicates an alternative that carries the same content, but available to a different set of customers, as one or both products are retailer-, channel- or market sector-specific (is own inverse)"
51,Product relation,Зв'язок продуктів,32,Has equivalent intended for a different market,,"<RelatedProduct> is an equivalent product, often intended for another (geographical) market. Indicates an alternative that carries essentially the same content, though slightly adapted for local circumstances (as opposed to a translation – use code 11) (is own inverse)"
